advertiser_id,product_id,date
62FIK8F2YT8JSFDBLEC9,yvuie6,25/4/2023
03KNVBO915KY2ZPGA57J,djcjem,25/4/2023
9Z77N44VDW6KX6VBWJ4X,1l0c26,25/4/2023
03KNVBO915KY2ZPGA57J,k2uwfm,25/4/2023
2WPF1NXECF3G6NUMWDO7,jfakjo,25/4/2023
KD9PHCBGYFBRI9ET1O9R,w6fd86,25/4/2023
8C88YB6E8YCGWU07HA7A,w2c5hd,25/4/2023
03KNVBO915KY2ZPGA57J,94sb3v,25/4/2023
L6WM4665XZVS9MCZRTVI,ngyfia,25/4/2023
LTRZRCI4M19WYVL6Q6L5,joka8q,25/4/2023
OY5LNPB5A8FF43ITRZG3,jmk0uz,25/4/2023
03KNVBO915KY2ZPGA57J,mh1nys,25/4/2023
IOBPI63RBJIHI5FB7U9O,g3x6z6,25/4/2023
P41C5HK4P2G5GFRMT6ZA,v8mzq6,25/4/2023
LW045DVYSGRD75TK6U54,ehwog3,25/4/2023
03KNVBO915KY2ZPGA57J,ypzeqh,25/4/2023
IDOFCO721HTJGDH7332G,3brj11,25/4/2023
8C88YB6E8YCGWU07HA7A,4zv71d,25/4/2023
2WPF1NXECF3G6NUMWDO7,jwanpi,25/4/2023
03KNVBO915KY2ZPGA57J,2kr3c3,25/4/2023
2WPF1NXECF3G6NUMWDO7,ha7fga,25/4/2023
LW045DVYSGRD75TK6U54,sy786y,25/4/2023
HC26ZE93SA4WWA0BRFM6,h4waxr,25/4/2023
Y0W3K7OV6ZLILW96OO3K,7qr4to,25/4/2023
AK81O7W3KGPEN8LABG2N,0khlye,25/4/2023
IOBPI63RBJIHI5FB7U9O,1ey5jh,25/4/2023
Y0W3K7OV6ZLILW96OO3K,v7owp2,25/4/2023
03KNVBO915KY2ZPGA57J,ju3ix9,25/4/2023
IDOFCO721HTJGDH7332G,6r9sgw,25/4/2023
6X20RDH567MX2X3TXYJ7,3o5tyo,25/4/2023
8C88YB6E8YCGWU07HA7A,4uf7ag,25/4/2023
5E325T5HYL61QSABVR5V,b5uafp,25/4/2023
K6Z0X85ZUY0TSF4RCG5J,cllpem,25/4/2023
AK81O7W3KGPEN8LABG2N,6x3k6b,25/4/2023
2WPF1NXECF3G6NUMWDO7,8s5t5t,25/4/2023
6X20RDH567MX2X3TXYJ7,zsyqf7,25/4/2023
5E325T5HYL61QSABVR5V,gjid0r,25/4/2023
LW045DVYSGRD75TK6U54,zhon08,25/4/2023
LTRZRCI4M19WYVL6Q6L5,d3nam2,25/4/2023
OY5LNPB5A8FF43ITRZG3,25bn17,25/4/2023
